iter	Passed	Remaining
0	2	276
1	4	232
2	6	213
3	8	203
4	10	195
5	13	208
6	15	202
7	17	196
8	19	193
9	20	188
10	22	184
11	24	181
12	27	182
13	29	179
14	31	177
15	33	174
16	35	171
17	36	168
18	38	165
19	41	167
20	43	165
21	45	162
22	47	160
23	50	158
24	52	156
25	54	156
26	57	155
27	59	154
28	61	151
29	64	149
30	66	147
31	69	147
32	71	145
33	73	143
34	76	141
35	78	139
36	80	137
37	84	137
38	86	135
39	88	133
40	90	130
41	93	129
42	95	126
43	99	126
44	101	124
45	103	121
46	106	119
47	108	117
48	110	114
49	113	113
50	115	111
51	118	108
52	120	106
53	122	104
54	124	101
55	127	100
56	129	98
57	132	95
58	134	93
59	137	91
60	140	89
61	142	87
62	145	85
63	147	83
64	149	80
65	151	78
66	154	76
67	157	74
68	159	71
69	162	69
70	164	67
71	167	64
72	169	62
73	171	60
74	173	57
75	175	55
76	177	53
77	179	50
78	182	48
79	185	46
80	187	43
81	189	41
82	191	39
83	193	36
84	195	34
85	197	32
86	199	29
87	201	27
88	203	25
89	205	22
90	207	20
91	211	18
92	213	16
93	215	13
94	217	11
95	219	9
96	221	6
97	223	4
98	227	2
99	229	0
